# set of all cargo tanks
set T:= SLS 2C 1P 1S 2P 2S 4P 4S 5P 1C 3C 4C 5C 3P 3S 5S SLP ;
# cargo tanks with non-pw tcg details
set T1 := 2C 1C 3C 4C 5C ;
# set of tanks compatible with cargo c
set Tc[P300000479] := SLS 2C 1P 1S 2P 2S 4P 4S 5P 1C 3C 4C 5C 3P 3S 5S SLP ;
# set of loaded tanks (preloaded condition)
set T_loaded:= 1C 1P 1S 2C 2P 2S 3C 3P 3S 4C 4P 4S 5C 5P 5S SLP SLS ;
# set of all cargoes
set C:= P300000479 ;
# set of all loaded cargoes (partial loading condition)
set C_loaded:= P300000479 ;
# set of all loaded cargoes (partial loading condition) with auto discharge
set C_loaded1:= ;
# if cargo c has been loaded in tank t (partial loading condition)
param I_loaded := 
[P300000479, *] := 1C 1 1P 1 1S 1 2C 1 2P 1 2S 1 3C 1 3P 1 3S 1 4C 1 4P 1 4S 1 5C 1 5P 1 5S 1 SLP 1 SLS 1 
;
param W_loaded   := 
P300000479  SLS 1 -160.0
P300000479  SLS 2 -146.2
P300000479  SLS 3 -146.2
P300000479  SLS 4 -146.2
P300000479  SLS 5 -146.2
P300000479  SLS 6 -146.2
P300000479  SLS 7 -146.2
P300000479  SLS 8 -146.2
P300000479  SLS 9 -146.2
P300000479  SLS 10 -146.2
P300000479  SLS 11 -146.2
P300000479  SLS 12 -146.2
P300000479  SLS 13 -146.2
P300000479  SLS 14 -53.8
P300000479  SLS 16 -803.5
P300000479  2C 1 -1295.8
P300000479  2C 2 -1721.8
P300000479  2C 3 -1721.8
P300000479  2C 4 -1721.8
P300000479  2C 5 -1721.8
P300000479  2C 6 -1721.8
P300000479  2C 7 -1721.8
P300000479  2C 8 -1721.8
P300000479  2C 9 -1721.8
P300000479  2C 10 -1721.8
P300000479  2C 11 -1721.8
P300000479  2C 12 -1721.8
P300000479  2C 13 -1721.8
P300000479  2C 14 -1423.5
P300000479  1P 1 -974.3
P300000479  1P 2 -1275.8
P300000479  1P 3 -1275.8
P300000479  1P 4 -1275.8
P300000479  1P 5 -1275.8
P300000479  1P 6 -1275.8
P300000479  1P 7 -1275.8
P300000479  1P 8 -1275.8
P300000479  1P 9 -1275.8
P300000479  1P 10 -1275.8
P300000479  1P 11 -1275.8
P300000479  1P 12 -1275.8
P300000479  1P 13 -1275.8
P300000479  1P 14 -600.8
P300000479  1S 1 -974.3
P300000479  1S 2 -1275.8
P300000479  1S 3 -1275.8
P300000479  1S 4 -1275.8
P300000479  1S 5 -1275.8
P300000479  1S 6 -1275.8
P300000479  1S 7 -1275.8
P300000479  1S 8 -1275.8
P300000479  1S 9 -1275.8
P300000479  1S 10 -1275.8
P300000479  1S 11 -1275.8
P300000479  1S 12 -1275.8
P300000479  1S 13 -1275.8
P300000479  1S 14 -600.8
P300000479  2P 1 -746.7
P300000479  2P 2 -960.0
P300000479  2P 3 -960.0
P300000479  2P 4 -960.0
P300000479  2P 5 -960.0
P300000479  2P 6 -960.0
P300000479  2P 7 -960.0
P300000479  2P 8 -960.0
P300000479  2P 9 -960.0
P300000479  2P 10 -960.0
P300000479  2P 11 -960.0
P300000479  2P 12 -960.0
P300000479  2P 13 -960.0
P300000479  2P 14 -901.7
P300000479  2S 1 -746.7
P300000479  2S 2 -960.0
P300000479  2S 3 -960.0
P300000479  2S 4 -960.0
P300000479  2S 5 -960.0
P300000479  2S 6 -960.0
P300000479  2S 7 -960.0
P300000479  2S 8 -960.0
P300000479  2S 9 -960.0
P300000479  2S 10 -960.0
P300000479  2S 11 -960.0
P300000479  2S 12 -960.0
P300000479  2S 13 -960.0
P300000479  2S 14 -901.7
P300000479  4P 1 -899.6
P300000479  4P 2 -1172.2
P300000479  4P 3 -1172.2
P300000479  4P 4 -1172.2
P300000479  4P 5 -1172.2
P300000479  4P 6 -1172.2
P300000479  4P 7 -1172.2
P300000479  4P 8 -1172.2
P300000479  4P 9 -1172.2
P300000479  4P 10 -1172.2
P300000479  4P 11 -1172.2
P300000479  4P 12 -1172.2
P300000479  4P 13 -1172.2
P300000479  4P 14 -1297.0
P300000479  4P 15 -686.1
P300000479  4S 1 -899.6
P300000479  4S 2 -1172.2
P300000479  4S 3 -1172.2
P300000479  4S 4 -1172.2
P300000479  4S 5 -1172.2
P300000479  4S 6 -1172.2
P300000479  4S 7 -1172.2
P300000479  4S 8 -1172.2
P300000479  4S 9 -1172.2
P300000479  4S 10 -1172.2
P300000479  4S 11 -1172.2
P300000479  4S 12 -1172.2
P300000479  4S 13 -1172.2
P300000479  4S 14 -1297.0
P300000479  4S 15 -686.1
P300000479  5P 1 -723.8
P300000479  5P 2 -928.3
P300000479  5P 3 -928.3
P300000479  5P 4 -928.3
P300000479  5P 5 -928.3
P300000479  5P 6 -928.3
P300000479  5P 7 -928.3
P300000479  5P 8 -928.3
P300000479  5P 9 -928.3
P300000479  5P 10 -928.3
P300000479  5P 11 -928.3
P300000479  5P 12 -928.3
P300000479  5P 13 -928.3
P300000479  5P 14 -1207.3
P300000479  5P 15 -1452.9
